#{"t_start": 1780275399.2621672, "env_id": "None"}
r,l,t
-145.697668,500,29.524423
-175.639211,500,57.098796
481.93797,500,84.431258
670.452716,500,111.64836
769.902856,500,174.753258
863.234072,500,204.461296
502.503922,500,232.09203
790.610289,500,260.072558
833.699167,500,321.76565
856.682819,500,349.63356
772.724894,500,377.499572
634.844196,500,405.895248
865.174904,500,467.936588
872.72859,500,495.098063
854.858205,500,523.255382
844.277135,500,550.508511
845.12377,500,611.121457
-171.541528,500,638.289583
806.203041,500,665.842056
865.786038,500,693.768675
877.969988,500,753.141623
840.673116,500,781.225468
866.708853,500,808.090848
208.624444,500,835.890196
-167.05598,500,898.609492
880.503964,500,927.437752
880.753987,500,955.747181
538.858569,500,983.922332
593.984174,500,1046.864166
562.005994,500,1073.542443
842.407433,500,1102.722898
769.180233,500,1130.552562
544.532903,500,1189.811032
492.872918,500,1217.921466
643.844448,500,1246.566695
861.55911,500,1274.556286
865.421612,500,1346.651213
448.515511,500,1382.22438
806.664062,500,1416.818607
642.13015,500,1451.566556
628.303436,500,1536.561439
873.629834,500,1570.306847
696.115354,500,1603.538515
871.159376,500,1639.501313
694.485981,500,1724.519501
807.297496,500,1758.072949
-172.594347,500,1793.355298
865.402289,500,1827.565838
197.634017,500,1914.27612
709.438409,500,1949.429765
-164.476653,500,1984.870436
879.270049,500,2019.917355
680.620754,500,2099.344249
723.276572,500,2135.123618
491.585976,500,2170.210767
771.650107,500,2204.878273
620.051039,500,2293.160859
881.716892,500,2328.134039
769.546575,500,2363.92432
878.659191,500,2399.528126
743.841485,500,2477.632606
868.297677,500,2513.232527
-168.982197,500,2548.786933
879.77396,500,2584.898537
-167.304421,500,2672.886582
852.77134,500,2707.437074
774.210454,500,2743.607984
847.470111,500,2778.129535
670.416698,500,2863.17286
883.043635,500,2897.290776
816.508063,500,2931.65261
831.320566,500,2967.720471
876.057821,500,3051.759156
830.404757,500,3086.609746
158.426224,500,3121.658423
878.773952,500,3158.43908
826.307,500,3246.593237
881.961436,500,3282.940615
720.043932,500,3318.827619
847.502228,500,3351.62909
881.484856,500,3432.398921
-17.767799,500,3467.925166
772.94908,500,3503.164729
730.731457,500,3538.440367
880.60721,500,3625.859128
519.010274,500,3660.047324
839.740135,500,3695.482702
718.915468,500,3728.588514
-169.33588,500,3802.513565
319.550968,500,3838.072025
460.591707,500,3870.676045
832.027312,500,3904.99141
