#{"t_start": 1780311735.8834996, "env_id": "None"}
r,l,t
-170.665389,500,35.736874
-172.829447,500,68.403494
-167.601722,500,100.730681
-98.362956,500,131.565846
-125.335054,500,200.674691
-166.680676,500,233.85167
4.585136,500,266.333487
-101.886393,500,299.802222
210.291779,500,373.208053
351.737179,500,405.970061
580.578227,500,438.708579
352.704665,500,470.510441
131.640427,500,541.463947
673.363047,500,574.075423
751.550999,500,606.714285
121.581243,500,641.168209
-117.627224,500,715.301813
550.918199,500,747.361759
97.751657,500,779.78875
420.714733,500,814.106317
-12.094454,500,888.889122
869.42141,500,920.60605
885.770861,500,952.069957
685.481524,500,981.973268
-158.712424,500,1051.938592
-52.631973,500,1080.059716
66.449821,500,1108.782967
227.207309,500,1137.40489
402.353998,500,1199.259649
-136.865758,500,1227.238622
308.295431,500,1254.445731
313.825851,500,1282.595114
839.509403,500,1343.573499
313.292173,500,1370.265966
859.651027,500,1397.312148
645.912465,500,1428.739281
424.402321,500,1503.603925
130.226095,500,1536.238539
846.64321,500,1569.720473
460.652527,500,1602.927171
753.971344,500,1676.56935
418.974994,500,1709.749848
301.518844,500,1741.532401
154.09607,500,1773.581595
549.870668,500,1845.063095
587.678801,500,1877.41054
150.283194,500,1909.737767
295.761634,500,1942.107612
864.19323,500,2016.885453
249.781076,500,2050.249746
273.098959,500,2083.391005
372.877525,500,2117.82341
673.087807,500,2199.009891
670.241049,500,2237.368482
860.063559,500,2273.081667
331.290216,500,2312.07066
-17.682588,500,2399.275757
153.408469,500,2434.892601
68.430926,500,2472.012064
775.492056,500,2506.727506
545.639111,500,2590.314638
271.545829,500,2626.254086
865.485597,500,2663.595641
378.019466,500,2701.567271
766.621218,500,2788.127745
139.503268,500,2825.30449
206.745605,500,2860.998241
630.389466,500,2896.298594
725.172334,500,2979.483577
864.709637,500,3015.681457
39.849255,500,3053.843724
-20.61027,500,3089.223329
199.666342,500,3175.900569
161.195389,500,3213.205656
132.609703,500,3249.664253
756.800445,500,3283.753195
-40.878613,500,3369.959219
-159.799634,500,3407.454744
239.688172,500,3444.83819
256.246498,500,3481.219719
881.999261,500,3568.956012
837.348131,500,3607.093511
428.389852,500,3642.75372
858.597711,500,3678.022181
329.336158,500,3761.808886
339.907637,500,3797.633067
360.994055,500,3833.123873
732.540989,500,3869.868221
172.026126,500,3959.185318
-65.918348,500,3994.050738
657.195794,500,4030.259135
852.189325,500,4063.763143
261.138906,500,4139.65881
259.14169,500,4168.001391
230.596078,500,4198.167027
253.335692,500,4229.739188
830.968687,500,4298.984493
687.93404,500,4329.813804
406.400882,500,4359.82702
830.124382,500,4389.66267
479.897549,500,4460.549609
288.600442,500,4491.738575
840.293676,500,4526.639953
817.921538,500,4560.500091
159.525502,500,4641.195933
720.840339,500,4677.528032
42.528086,500,4711.093877
553.608819,500,4744.087474
624.159349,500,4817.61807
228.871825,500,4850.304344
411.387853,500,4883.449965
136.381688,500,4916.673592
643.199178,500,4987.609157
498.578938,500,5019.606104
861.570372,500,5053.545641
620.530291,500,5086.623065
65.551995,500,5160.91643
666.377743,500,5193.235996
342.427624,500,5226.796764
107.426263,500,5262.476668
46.680825,500,5350.74049
-118.5284,500,5388.925977
288.021209,500,5423.617385
851.219202,500,5458.844767
540.713687,500,5548.600187
478.270451,500,5585.827865
46.624057,500,5624.287192
6.920779,500,5660.750901
-119.492741,500,5745.670557
333.929883,500,5782.772727
240.879096,500,5820.598381
296.085545,500,5856.543324
-144.490252,500,5936.5172
275.278295,500,5973.845682
552.672915,500,6011.508975
849.658961,500,6048.375424
-114.702472,500,6132.049089
847.039826,500,6167.129841
872.178484,500,6203.180951
129.428939,500,6241.637704
593.769344,500,6322.759696
144.860087,500,6359.241514
208.146216,500,6396.376026
835.577107,500,6433.746601
538.158832,500,6521.207431
681.406403,500,6559.193789
853.779218,500,6594.67007
200.840796,500,6629.136238
848.434162,500,6710.938425
249.500092,500,6746.857438
867.720533,500,6783.058748
-8.586576,500,6819.313963
804.702715,500,6907.513121
264.469213,500,6945.303314
434.488072,500,6981.567426
-142.485639,500,7018.278384
362.050629,500,7094.300274
375.770857,500,7129.794502
358.079709,500,7162.882683
684.621426,500,7197.914819
