#{"t_start": 1780282056.0224414, "env_id": "None"}
r,l,t
-157.301137,500,37.893786
62.833434,500,72.725037
-35.846344,500,107.285388
-101.726779,500,140.580184
255.776292,500,215.935604
219.694164,500,250.448679
114.688406,500,286.671491
764.939212,500,320.452425
797.208372,500,401.209226
-127.421607,500,436.307619
421.510116,500,468.460947
532.45902,500,502.210737
128.781286,500,569.471617
275.26691,500,599.936942
-102.155615,500,627.834804
-25.460551,500,656.111465
41.231143,500,722.983617
-174.351179,500,753.086326
751.524635,500,782.582449
379.323151,500,813.51439
274.770048,500,880.868277
573.323464,500,910.7857
-136.132044,500,945.77824
-146.511462,500,980.308632
671.729881,500,1060.31595
765.026404,500,1092.725049
767.631205,500,1126.105095
96.423107,500,1161.463249
749.187543,500,1241.680419
301.90319,500,1275.854467
578.795675,500,1310.260175
426.493106,500,1346.181682
-133.436681,500,1427.601726
597.985849,500,1462.866973
-173.165723,500,1497.145174
365.577735,500,1528.732039
163.575333,500,1605.062413
290.42442,500,1639.766333
184.88977,500,1675.535827
655.284368,500,1710.041577
870.199892,500,1790.762329
880.332993,500,1825.094846
127.340821,500,1860.530419
783.4181,500,1894.88467
370.981434,500,1971.625171
493.063753,500,2004.82271
469.880616,500,2040.536961
658.437647,500,2076.474537
-160.37947,500,2157.452698
875.730689,500,2192.914895
847.69189,500,2225.891145
622.271437,500,2259.936719
742.661872,500,2337.029553
546.899345,500,2371.540197
715.420807,500,2406.310225
208.97076,500,2443.126707
457.06272,500,2525.609667
153.278587,500,2561.843848
-158.636206,500,2596.645754
382.439313,500,2631.118112
425.166622,500,2706.133858
621.368226,500,2740.728692
793.338612,500,2774.585615
173.190803,500,2808.556697
-164.092775,500,2889.367969
730.691821,500,2925.842324
878.073922,500,2959.760915
817.226059,500,2993.366393
816.308504,500,3070.64594
727.275823,500,3105.877239
361.479298,500,3141.54121
149.222225,500,3176.090073
872.863195,500,3256.976825
871.902194,500,3291.45071
780.783034,500,3327.280664
537.96005,500,3361.466698
708.295623,500,3443.186065
206.188312,500,3476.742175
366.923981,500,3509.709999
868.896634,500,3543.578226
148.520388,500,3619.024917
729.74786,500,3649.52635
813.771922,500,3678.434014
882.393548,500,3707.914656
860.127406,500,3776.584479
641.220247,500,3807.057751
-145.919673,500,3836.654629
-142.470541,500,3865.416128
173.325098,500,3930.855523
838.814718,500,3960.17833
762.37759,500,3990.43922
-175.25247,500,4020.969198
-167.151718,500,4102.860323
-173.621397,500,4137.568712
303.901595,500,4172.277091
863.142794,500,4207.300898
770.7381,500,4288.069493
176.979647,500,4320.430315
44.118418,500,4353.953932
80.171477,500,4388.642568
143.490328,500,4467.805063
96.979847,500,4502.728229
383.276793,500,4538.599355
719.242308,500,4575.287993
393.622763,500,4655.353647
877.807177,500,4690.772509
644.08799,500,4726.171793
355.362956,500,4759.529709
395.300225,500,4835.723007
167.055845,500,4870.435743
872.572732,500,4905.269794
815.187446,500,4940.605152
184.159507,500,5021.134107
868.535414,500,5057.866571
866.402874,500,5093.27183
874.281593,500,5127.964027
867.296735,500,5207.690603
778.609646,500,5241.551221
596.98728,500,5274.607647
880.828404,500,5310.191732
448.765803,500,5391.091506
356.438105,500,5425.415786
847.407766,500,5461.002686
529.901643,500,5496.340984
510.036382,500,5578.506165
432.273552,500,5613.185041
