#{"t_start": 1780311731.5836477, "env_id": "None"}
r,l,t
-44.007293,500,36.630369
49.147755,500,73.745096
156.76872,500,109.697369
-125.324077,500,145.165367
-136.318214,500,222.544734
-89.601209,500,259.040169
0.290145,500,294.652393
282.598705,500,332.003893
137.818932,500,412.511674
724.647747,500,448.674388
307.718287,500,483.259829
-82.607798,500,518.786522
-169.055564,500,600.253344
-139.634475,500,635.906387
-149.125206,500,673.833322
-147.325809,500,710.642931
-15.295785,500,790.663487
525.575285,500,827.279007
416.565116,500,865.022475
74.480318,500,901.552953
-150.179581,500,976.511113
-168.128723,500,1010.282232
765.450954,500,1044.017482
-68.908538,500,1075.174988
275.543063,500,1143.174954
-168.654571,500,1175.82001
126.462875,500,1207.430176
860.775435,500,1239.812382
587.174565,500,1308.744486
220.305799,500,1340.919061
51.531904,500,1371.660246
122.947031,500,1402.960915
-141.647492,500,1481.813657
73.868436,500,1518.408124
77.128909,500,1555.2794
133.369097,500,1590.108316
549.476088,500,1670.000464
244.137983,500,1706.942427
-146.566357,500,1741.975786
9.284115,500,1777.195725
-147.838775,500,1855.742493
-163.619902,500,1890.992655
841.140474,500,1928.066636
-171.904523,500,1963.395523
-62.245734,500,2042.577128
-158.032786,500,2079.244787
-169.893303,500,2115.590185
255.367294,500,2153.60214
-104.550199,500,2246.476049
578.362014,500,2286.601972
807.43803,500,2326.454695
122.920138,500,2368.709257
-159.490581,500,2461.288622
240.55537,500,2499.154083
-99.230724,500,2538.073408
-148.137159,500,2577.943895
773.798743,500,2671.266377
-141.63961,500,2711.004874
401.602916,500,2752.539804
122.309923,500,2791.240661
27.020659,500,2883.590403
-168.355337,500,2921.290258
845.316579,500,2961.62134
880.445891,500,3001.258983
426.675327,500,3095.38495
497.880073,500,3136.261471
-171.777775,500,3176.553755
782.817718,500,3217.482857
666.405235,500,3305.237288
563.70231,500,3344.720735
-92.763349,500,3386.364491
465.525822,500,3425.854369
69.280766,500,3519.041915
842.261309,500,3560.373513
225.642698,500,3599.633107
247.687126,500,3637.682349
285.550907,500,3726.073215
873.114558,500,3766.779008
882.539605,500,3806.300474
236.669446,500,3845.075754
878.537283,500,3941.0037
410.471071,500,3980.590655
824.345845,500,4016.926447
229.580055,500,4055.975475
852.308616,500,4139.588384
-162.423225,500,4171.667419
107.823872,500,4204.952801
862.411457,500,4240.561759
840.563007,500,4317.331584
-155.464695,500,4351.95812
879.615514,500,4384.035701
851.771421,500,4419.87102
562.921246,500,4497.57256
831.032178,500,4536.819675
825.307388,500,4572.216448
248.255365,500,4610.455492
773.087273,500,4701.919725
46.682651,500,4737.128359
881.021019,500,4774.43387
48.256499,500,4812.123706
867.98671,500,4892.336327
874.095536,500,4929.490067
873.844399,500,4964.943732
-140.659547,500,5000.367337
-148.973127,500,5081.245561
849.598951,500,5118.156209
