#{"t_start": 1780295860.0734527, "env_id": "None"}
r,l,t
155.536854,500,38.591331
71.917549,500,76.422904
369.040407,500,114.854154
-77.127855,500,152.255905
-133.594574,500,239.410469
-161.042125,500,276.031674
-123.500819,500,313.390183
318.594886,500,351.667881
236.500196,500,429.329878
857.914807,500,466.149628
478.341127,500,504.225191
434.626992,500,542.672355
64.125748,500,626.28247
-155.456633,500,663.658425
68.080569,500,701.079912
70.819124,500,737.821815
46.434056,500,815.298781
715.221123,500,852.025205
96.036853,500,888.864733
-2.132282,500,927.532281
-95.781378,500,1010.428545
-136.718535,500,1048.398522
848.755912,500,1086.277597
60.143115,500,1123.141327
723.157635,500,1201.054836
-162.638831,500,1237.577052
-173.497962,500,1274.354132
828.102271,500,1311.633649
703.942477,500,1394.930859
472.033466,500,1431.984911
858.889726,500,1471.175914
828.641233,500,1507.578222
-174.310928,500,1587.196048
-170.673455,500,1625.092582
-55.113973,500,1662.87022
535.660954,500,1699.049071
368.611813,500,1781.876404
316.304363,500,1819.685323
-167.746742,500,1857.222677
555.474476,500,1893.047607
-159.652539,500,1970.661052
-159.03533,500,2003.406146
814.908256,500,2039.076898
-169.246192,500,2071.135671
-134.960893,500,2141.923556
-131.872016,500,2173.874173
-173.712862,500,2205.342771
253.250472,500,2235.728199
-116.04968,500,2306.159285
288.127197,500,2337.070003
164.606953,500,2367.203007
215.501852,500,2397.765931
-163.738189,500,2477.551494
389.667898,500,2514.797888
-160.257202,500,2550.814893
-161.75777,500,2586.86024
855.469899,500,2673.28048
-87.000002,500,2711.048263
868.292674,500,2747.82321
108.501375,500,2782.786083
229.637379,500,2863.865496
-137.86347,500,2900.011387
382.67301,500,2936.098248
765.027018,500,2973.872388
343.581735,500,3061.409301
883.552371,500,3098.074127
-173.237516,500,3134.216841
743.730665,500,3171.973577
819.713223,500,3256.285221
859.600166,500,3291.016418
297.312405,500,3327.315733
386.867271,500,3365.718155
164.962068,500,3453.218707
519.08596,500,3488.487417
187.985977,500,3524.894486
473.81109,500,3562.202121
234.508364,500,3644.208101
779.763804,500,3678.004092
211.317288,500,3715.704182
482.527096,500,3752.734103
859.709869,500,3837.156348
386.51589,500,3873.184388
729.116229,500,3910.494903
248.096028,500,3948.993038
374.485715,500,4033.452747
-161.80789,500,4069.00698
144.656889,500,4106.371682
875.056498,500,4141.993728
769.891147,500,4224.657216
-175.173619,500,4260.811404
118.732525,500,4298.044001
810.320846,500,4336.045948
437.404449,500,4420.085861
871.674588,500,4456.358475
191.384638,500,4493.625065
294.343881,500,4530.704393
608.907015,500,4610.51879
-172.005083,500,4646.532081
856.472735,500,4683.966898
13.601247,500,4721.574462
810.097087,500,4803.98963
307.241834,500,4840.969665
286.919645,500,4878.467655
-169.206016,500,4916.241161
-151.909233,500,4996.943071
773.868152,500,5031.070488
862.28627,500,5065.464976
394.074026,500,5100.757499
-132.515377,500,5169.090409
886.26999,500,5202.07872
615.88793,500,5235.063281
854.643065,500,5267.765917
-152.096722,500,5335.130467
-166.098865,500,5367.182448
826.501174,500,5398.496663
158.578794,500,5430.496691
617.004707,500,5500.002266
678.717715,500,5536.565138
695.682317,500,5572.651974
19.186026,500,5611.323942
218.015791,500,5692.802609
829.631789,500,5730.631534
144.146581,500,5765.336992
786.999378,500,5800.429572
297.063225,500,5881.507409
239.539144,500,5918.942147
-170.441817,500,5956.384138
841.152108,500,5994.152269
280.045009,500,6075.026243
815.15993,500,6112.826551
737.441525,500,6148.297226
323.775697,500,6183.373061
-174.767386,500,6264.042953
752.820858,500,6301.503661
628.590123,500,6338.691803
