#{"t_start": 1780269631.6939857, "env_id": "None"}
r,l,t
-39.177317,500,27.365719
-151.239556,500,49.933643
408.978468,500,73.903764
760.582389,500,97.935584
-172.15276,500,146.687496
178.290433,500,171.131609
774.895352,500,194.532003
872.212356,500,218.4192
659.251158,500,266.547595
878.060957,500,291.385951
252.936865,500,316.030329
758.041172,500,339.097773
883.035712,500,387.427568
882.594108,500,412.550933
-167.324848,500,437.360763
882.232523,500,462.516389
880.718265,500,514.659002
-159.041684,500,539.760482
881.068713,500,565.17631
402.303437,500,589.009004
266.421329,500,641.485798
272.621465,500,666.363832
881.752056,500,691.311858
837.603231,500,716.292222
881.773196,500,770.876077
838.083293,500,796.485584
842.351987,500,821.534381
883.506787,500,847.085923
880.134924,500,899.52369
882.514061,500,924.801072
726.482661,500,950.013337
799.576942,500,975.878663
793.799254,500,1027.6032
827.621037,500,1053.495569
848.805843,500,1078.979268
824.911757,500,1103.708058
886.573328,500,1155.440351
787.149337,500,1180.300064
882.656979,500,1205.345803
162.860112,500,1231.21634
878.283447,500,1284.639987
883.322365,500,1310.109725
818.111403,500,1335.985955
873.02325,500,1361.419212
799.962182,500,1417.011184
883.371072,500,1442.408728
883.114678,500,1467.992455
883.52025,500,1492.682493
882.485695,500,1546.0939
796.544514,500,1571.927665
794.697446,500,1596.77645
882.186307,500,1622.406484
885.058586,500,1677.054743
859.717239,500,1702.684926
882.766176,500,1728.482913
882.868329,500,1753.418683
839.531656,500,1805.209438
884.182106,500,1830.316873
884.754179,500,1855.104821
766.30705,500,1881.176167
787.200634,500,1935.66578
882.682774,500,1961.758713
884.789968,500,1986.558368
884.93918,500,2011.894582
884.244052,500,2063.704213
884.197576,500,2088.47557
884.132251,500,2112.810727
820.296367,500,2137.469277
812.066871,500,2188.078549
815.011065,500,2213.053296
884.183514,500,2237.901399
797.51314,500,2262.945659
885.019679,500,2314.624593
873.752134,500,2339.1824
884.448362,500,2363.776574
885.03572,500,2388.676006
887.30116,500,2440.36416
880.67655,500,2465.164175
883.744912,500,2490.173809
884.763373,500,2515.282139
884.472583,500,2567.641823
882.896185,500,2592.314107
783.315262,500,2617.529389
822.378313,500,2642.865344
884.731782,500,2694.616456
884.287013,500,2719.496051
884.701168,500,2743.880345
790.561725,500,2768.089702
795.00169,500,2820.407246
885.111154,500,2845.121412
781.69517,500,2870.624092
782.802749,500,2895.576922
884.651637,500,2947.112856
883.444047,500,2972.140566
881.233042,500,2996.572965
772.369055,500,3021.491729
811.626357,500,3072.931217
881.094688,500,3097.546172
884.639767,500,3121.840341
804.421721,500,3146.580173
812.04322,500,3197.755568
728.02483,500,3222.751259
885.162711,500,3247.973324
884.803373,500,3273.496128
807.070015,500,3325.038576
884.356659,500,3349.740454
777.247412,500,3375.089049
875.437955,500,3400.04507
813.201739,500,3451.690648
884.542419,500,3475.89382
779.618099,500,3500.653544
802.405842,500,3525.749871
781.51017,500,3577.263814
885.272097,500,3602.596837
743.656518,500,3627.58534
834.719241,500,3651.720318
883.552109,500,3703.877019
778.592744,500,3728.21091
884.045717,500,3752.876513
883.355224,500,3778.324115
885.570183,500,3830.352418
830.81529,500,3855.314036
821.639752,500,3879.634455
872.759132,500,3904.459218
819.121746,500,3956.775778
843.172446,500,3981.711067
882.410675,500,4007.089134
832.849658,500,4031.897355
829.244872,500,4083.120788
825.48642,500,4108.094743
837.340585,500,4132.510989
840.87445,500,4156.961011
884.551444,500,4207.10128
818.823565,500,4231.57794
884.34833,500,4256.769171
831.791199,500,4281.382717
809.717923,500,4332.400648
877.274005,500,4357.620923
884.893601,500,4381.91397
884.46795,500,4406.856189
811.119578,500,4458.025976
796.023238,500,4483.115222
792.547669,500,4508.62709
883.616209,500,4532.762496
823.026822,500,4582.518156
779.781759,500,4607.484353
803.047067,500,4632.717341
779.710202,500,4657.651716
762.339443,500,4709.860733
847.912643,500,4734.891773
756.991464,500,4759.953219
807.693312,500,4783.960675
803.599923,500,4835.886788
884.45042,500,4861.018591
884.558438,500,4885.783658
823.543251,500,4910.208895
884.591761,500,4960.044366
884.838225,500,4985.077863
805.108233,500,5010.180676
883.39187,500,5034.829434
880.700288,500,5087.974732
884.401564,500,5112.385616
857.180637,500,5137.141265
849.357523,500,5162.734287
883.759777,500,5215.115297
874.693923,500,5240.692574
881.037265,500,5264.673966
869.850759,500,5288.840892
884.716363,500,5342.593592
883.765375,500,5366.825085
882.349515,500,5391.956501
836.342649,500,5417.266562
884.02523,500,5469.126044
883.643304,500,5494.624821
834.100934,500,5519.512192
862.615932,500,5544.000187
883.564948,500,5596.472059
883.383297,500,5620.419747
826.717569,500,5645.49815
885.071075,500,5670.800132
884.122358,500,5722.980443
883.731654,500,5748.425369
883.664029,500,5773.280988
883.445532,500,5798.012769
828.073213,500,5855.421205
817.550024,500,5880.186081
776.166699,500,5905.311956
810.740359,500,5929.988538
884.886237,500,5985.734412
883.341594,500,6010.866202
884.04609,500,6035.451782
816.953711,500,6060.853099
841.680866,500,6118.149042
810.91238,500,6142.710977
884.100294,500,6167.398416
810.93712,500,6193.322327
875.159257,500,6246.55708
884.217502,500,6270.743248
876.062731,500,6295.985701
784.116584,500,6321.296834
885.072529,500,6375.584877
771.301534,500,6400.016277
809.745084,500,6424.798866
819.265863,500,6450.028538
806.390603,500,6504.527436
884.606022,500,6529.574125
648.337678,500,6554.356041
813.8342,500,6578.564131
819.496803,500,6634.77586
814.666999,500,6659.91378
850.036014,500,6684.326841
886.307664,500,6709.363227
884.926775,500,6765.980914
881.670925,500,6791.549351
282.888784,500,6816.706437
756.13715,500,6841.43992
884.746757,500,6898.908152
