#{"t_start": 1780269997.2178042, "env_id": "None"}
r,l,t
244.619763,500,9.384606
270.678276,500,111.336174
191.75717,500,207.097884
373.595025,500,301.30005
141.610175,500,440.363303
206.427926,500,534.240243
-160.050976,500,630.75983
-108.5933,500,718.559805
-137.196058,500,839.119627
9.357841,500,934.888472
204.314837,500,1019.815971
-66.189706,500,1102.756086
-160.64595,500,1219.540945
-149.99326,500,1295.550103
735.059428,500,1367.372439
111.969817,500,1432.355993
303.979709,500,1541.128152
307.846061,500,1613.176653
0.106372,500,1683.66861
94.717397,500,1746.697019
717.606931,500,1851.074743
198.467297,500,1916.478167
-173.338431,500,1981.897514
732.305753,500,2050.090247
-152.567722,500,2154.505944
-141.170102,500,2221.357499
-140.386398,500,2290.313817
-83.824788,500,2361.871715
244.749571,500,2467.067755
178.337332,500,2546.194871
432.046336,500,2627.24782
-169.332133,500,2700.563688
355.525281,500,2818.248558
-172.596658,500,2892.372986
-171.856728,500,2980.452386
-174.443349,500,3072.437001
7.966629,500,3192.590885
-173.629563,500,3283.836053
342.272102,500,3382.412182
-171.050779,500,3465.606436
-62.860939,500,3589.202929
-79.05562,500,3692.141987
-173.180948,500,3697.010482
502.084748,500,3788.608252
-116.430729,500,3910.556031
389.619021,500,3998.356491
-37.268388,500,4079.981705
-105.867346,500,4161.098457
-10.869329,500,4273.902115
765.374388,500,4364.834678
765.391469,500,4456.12423
121.086305,500,4537.323533
-108.048429,500,4651.559224
733.935494,500,4725.266119
7.223235,500,4809.594683
-174.293274,500,4885.641573
605.063629,500,4996.000196
-117.327081,500,5069.959816
-46.00261,500,5148.628679
350.190853,500,5219.569731
-99.417692,500,5321.965983
292.782034,500,5390.655145
-172.503194,500,5463.089892
158.241756,500,5532.986477
-172.304026,500,5645.090089
-75.40022,500,5712.48589
-54.02391,500,5780.77887
247.703288,500,5851.530854
-89.777048,500,5961.177525
433.480804,500,6032.545148
349.429447,500,6109.199422
68.545809,500,6185.458248
-140.75927,500,6307.271524
799.229176,500,6379.243895
193.450925,500,6462.936745
500.431767,500,6546.646002
8.696432,500,6678.805307
-54.461269,500,6767.871518
-13.676711,500,6857.375767
-167.38912,500,6958.447798
86.511962,500,7121.637882
49.522311,500,7222.738897
134.154978,500,7322.733911
-59.051384,500,7427.328698
357.707224,500,7587.516048
-164.560134,500,7594.754502
140.181899,500,7702.688026
-168.965655,500,7804.525296
-68.707267,500,7966.72755
106.836243,500,8067.353402
31.991898,500,8158.630378
-169.16207,500,8264.833873
